Business_ID,Business_Name,Category,Area,Rating,Reviews,Price_Range,Delivery_Time_Minutes,Monthly_Online_Orders,Date_Added,Monthly_Customers,Avg_Order_Value,Monthly_Sales,Delivery_Rating,Is_Active,Staff_Count
BIZ1021,BakersPoint Clothing,Cafe,Kothrud,4.1,385,High,,626,25-05-2023,3623,505,316130,,Yes,7
BIZ1022,GlowUp Clothing,Salon,Swargate,2.7,134,High,,665,24-03-2023,6553,633,420945,,Yes,25
BIZ1023,GlowUp Restaurant,Bakery,Kharadi,2.6,1174,Medium,,,31-12-2024,2098,271,0,,No,6
BIZ1024,Kalyani Salon,Clothing,Aundh,4.3,808,High,,,12-01-2023,5750,521,0,,No,15
BIZ1025,FreshMart Electronics,Electronics,Hadapsar,4,1452,Low,,,02-11-2024,4848,741,0,,No,3
BIZ1026,FreshMart Grocery,Bakery,Hadapsar,3.5,898,High,,1842,03-12-2024,3331,715,1317030,,No,16
BIZ1027,SmartBuy Cafe,Clothing,Karve Nagar,4.6,632,Low,43,996,19-09-2023,4738,201,200196,4.4,Yes,23
BIZ1028,BakersPoint Bakery,Salon,Baner,4.8,210,Low,42,,15-11-2024,9300,680,0,3.7,Yes,16
BIZ1029,GlowUp Grocery,Grocery,Viman Nagar,4.2,841,Low,,,05-05-2024,2147,297,0,,No,7
BIZ1030,Tandoor Trails Electronics,Electronics,Bibwewadi,3.4,905,Low,,,28-07-2023,7858,484,0,,No,3
BIZ1031,Kalyani Electronics,Cafe,Magarpatta,3.9,1371,High,58,1530,02-05-2023,9749,493,754290,2.7,No,22
BIZ1032,SmartBuy Salon,Grocery,Nigdi,5,1419,High,,272,29-06-2023,2003,459,124848,,No,25
BIZ1033,SmartBuy Bakery,Salon,Yerwada,3.9,676,Medium,,153,17-12-2024,4301,501,76653,,Yes,20
BIZ1034,FreshMart Electronics,Clothing,Deccan,4.8,309,Low,55,,25-03-2023,7812,717,0,3.6,No,18
BIZ1035,SmartBuy Salon,Electronics,Magarpatta,4,702,Low,32,,14-09-2024,9785,766,0,4.4,Yes,7
BIZ1036,FixIt Clothing,Cafe,Deccan,4.1,669,Medium,,402,05-02-2023,9427,174,69948,,No,21
BIZ1037,FixIt Salon,Clothing,Swargate,3.3,665,Low,,,14-12-2024,5125,756,0,,No,15
BIZ1038,GlowUp Bakery,Grocery,Camp,4.5,1079,Low,,334,06-06-2024,6277,722,241148,,Yes,10
BIZ1039,Kalyani Electronics,Clothing,Nigdi,3.9,436,Low,,,25-09-2023,2422,163,0,,No,4
BIZ1040,Tandoor Trails Cafe,Clothing,Swargate,4.9,1367,Low,38,1550,05-09-2024,786,151,234050,4.8,No,23
BIZ1041,BakersPoint Clothing,Salon,Swargate,4.1,1392,Medium,,1882,16-06-2024,4762,471,886422,,No,16
BIZ1042,FreshMart Bakery,Salon,Deccan,2.5,793,Medium,,,12-02-2024,3451,722,0,,No,15
BIZ1043,SmartBuy Electronics,Clothing,Aundh,3,353,Medium,,,11-02-2024,5919,456,0,,Yes,9
BIZ1044,SpiceHub Electronics,Auto Repair,Sinhagad Road,4.9,1257,Low,,,12-06-2023,7484,368,0,,Yes,10
BIZ1045,SpiceHub Grocery,Electronics,Kharadi,4.3,984,Low,,441,25-07-2024,2222,247,108927,,Yes,20
BIZ1046,SmartBuy Salon,Electronics,Koregaon Park,4.6,414,Low,33,,23-04-2023,6808,688,0,2.4,Yes,6
BIZ1047,Tandoor Trails Electronics,Bakery,Nigdi,3.4,741,Low,20,,16-04-2024,5688,745,0,3.4,Yes,13
BIZ1048,SmartBuy Grocery,Electronics,Bibwewadi,2.7,617,High,20,,27-11-2024,2551,245,0,4.3,No,14
BIZ1049,FixIt Auto Repair,Cafe,Aundh,4.3,391,Medium,,,03-08-2023,1835,292,0,,Yes,8
BIZ1050,Durga Salon,Cafe,Sinhagad Road,4.5,1413,High,38,1175,05-07-2023,2481,161,189175,3.7,No,24
BIZ1051,Tandoor Trails Electronics,Bakery,Aundh,4.5,241,Medium,32,566,11-07-2023,3632,192,108672,2.7,Yes,4
BIZ1052,Durga Clothing,Cafe,Viman Nagar,3.8,56,Medium,35,773,05-11-2023,3450,181,139913,4.9,Yes,20
BIZ1053,FixIt Auto Repair,Bakery,Camp,3.9,1430,High,,,03-11-2024,6610,489,0,,No,20
BIZ1054,FreshMart Bakery,Salon,Hadapsar,3.5,821,High,,,07-01-2023,9748,443,0,,Yes,5
BIZ1055,FixIt Restaurant,Salon,Kharadi,3,345,High,,,30-08-2023,4429,605,0,,No,2
BIZ1056,BakersPoint Cafe,Clothing,Yerwada,4.7,542,Low,46,682,18-07-2023,952,473,322586,4.6,Yes,22
BIZ1057,SpiceHub Clothing,Grocery,Sinhagad Road,4.4,1183,Medium,,,18-06-2023,142,523,0,,Yes,19
BIZ1058,BakersPoint Restaurant,Grocery,Koregaon Park,3.6,641,Low,54,,20-09-2024,4021,452,0,2.1,Yes,7
BIZ1059,Durga Restaurant,Cafe,Baner,3.5,452,High,50,,01-03-2024,2770,570,0,2.2,No,8
BIZ1060,SpiceHub Clothing,Electronics,Baner,4.1,693,Low,,,20-01-2024,3125,500,0,,No,11
BIZ1061,GlowUp Auto Repair,Cafe,Kothrud,4.2,1358,Medium,36,,28-06-2023,7692,534,0,2.9,No,3
BIZ1062,SpiceHub Auto Repair,Restaurant,Koregaon Park,4.8,513,Medium,,,06-12-2024,8300,494,0,,Yes,21
BIZ1063,Durga Electronics,Electronics,Hinjewadi,4.4,371,High,25,1212,26-09-2024,7240,620,751440,3.3,Yes,24
BIZ1064,BakersPoint Salon,Salon,Sinhagad Road,3,1000,High,60,660,16-04-2023,4865,346,228360,3.2,Yes,25
BIZ1065,Tandoor Trails Grocery,Clothing,Pashan,2.5,69,Low,,,15-09-2024,3383,543,0,,No,2
BIZ1066,Durga Bakery,Auto Repair,Kharadi,4.8,990,High,24,,17-01-2023,8840,467,0,5,Yes,17
BIZ1067,FixIt Clothing,Salon,Shivaji Nagar,3.4,1268,Medium,,1081,10-10-2023,6445,500,540500,,No,14
BIZ1068,Tandoor Trails Restaurant,Electronics,Baner,3.4,290,Low,47,,22-07-2023,7052,398,0,3.9,No,6
BIZ1069,Durga Clothing,Salon,Sinhagad Road,3.3,1045,Medium,,,27-05-2024,2843,679,0,,Yes,3
BIZ1070,BakersPoint Cafe,Salon,Hinjewadi,2.8,1254,High,49,,04-05-2023,587,387,0,4.5,No,23
BIZ1071,ChaiVilla Auto Repair,Restaurant,Kharadi,4.7,385,Low,,,08-08-2024,1816,526,0,,No,20
BIZ1072,FixIt Salon,Electronics,Yerwada,3.1,361,Low,43,,22-12-2024,3788,424,0,3.1,No,22
BIZ1073,SmartBuy Bakery,Restaurant,Nigdi,3.3,753,Medium,,,09-05-2023,1796,668,0,,Yes,21
BIZ1074,SmartBuy Clothing,Restaurant,Baner,2.7,126,High,34,914,07-10-2023,5492,488,446032,3.2,Yes,19
BIZ1075,SmartBuy Restaurant,Bakery,Koregaon Park,4.3,1031,Low,57,1347,28-08-2024,7323,517,696399,2.2,No,16
BIZ1076,Kalyani Grocery,Cafe,Bibwewadi,2.7,99,Low,,1495,12-08-2024,7714,590,882050,,No,9
BIZ1077,Durga Clothing,Clothing,Hadapsar,4.5,227,Low,,1913,04-09-2023,8623,514,983282,,No,21
BIZ1078,FreshMart Clothing,Salon,Sinhagad Road,3.9,664,Low,,1458,23-08-2024,487,259,377622,,No,17
BIZ1079,Tandoor Trails Bakery,Bakery,Deccan,2.8,161,Medium,21,1859,05-02-2024,755,173,321607,3.7,Yes,19
BIZ1080,FixIt Grocery,Cafe,Swargate,4.1,206,Medium,48,460,19-07-2024,4660,668,307280,3.6,No,4
BIZ1081,ChaiVilla Bakery,Salon,Aundh,3.7,446,Medium,,1484,28-08-2024,5487,213,316092,,No,8
BIZ1082,FixIt Clothing,Electronics,Deccan,4.1,397,Medium,32,1820,25-07-2023,8188,465,846300,3.2,No,20
BIZ1083,FixIt Electronics,Electronics,Kharadi,3,687,Medium,,442,16-06-2024,138,416,183872,,No,21
BIZ1084,FreshMart Clothing,Grocery,Kharadi,3.6,550,Low,44,837,12-03-2024,5467,165,138105,4.6,Yes,22
BIZ1085,Durga Restaurant,Bakery,Karve Nagar,3.1,272,High,,,17-10-2024,2130,217,0,,No,24
BIZ1086,ChaiVilla Clothing,Cafe,Aundh,4.7,1039,High,,,12-01-2023,7952,255,0,,No,14
BIZ1087,Kalyani Salon,Clothing,Yerwada,4.6,962,High,,,16-06-2023,2710,220,0,,Yes,14
BIZ1088,BakersPoint Cafe,Cafe,Baner,3.6,1226,Low,37,1259,23-12-2024,815,224,282016,2.6,Yes,13
BIZ1089,SpiceHub Grocery,Electronics,Camp,4.8,1178,High,,,08-04-2024,6033,385,0,,Yes,20
BIZ1090,SpiceHub Electronics,Restaurant,Hadapsar,3.6,962,Medium,52,,01-06-2024,3982,224,0,4,Yes,14
BIZ1091,FreshMart Clothing,Clothing,Bibwewadi,4.2,103,High,40,373,07-09-2024,9143,589,219697,4.6,No,15
BIZ1092,Tandoor Trails Auto Repair,Salon,Viman Nagar,4.4,448,Medium,,1375,31-01-2023,4579,636,874500,,Yes,18
BIZ1093,Durga Auto Repair,Cafe,Nigdi,3.2,133,Medium,33,,12-09-2023,2181,188,0,2.3,Yes,23
BIZ1094,FreshMart Grocery,Salon,Shivaji Nagar,4,354,Low,20,1321,14-01-2024,8082,758,1001318,3.2,Yes,24
BIZ1095,FixIt Auto Repair,Bakery,Swargate,4.9,1023,Low,39,517,25-02-2024,9475,438,226446,2.3,Yes,20
BIZ1096,FreshMart Clothing,Bakery,Swargate,4.8,1009,Low,,,18-01-2023,6269,387,0,,No,11
BIZ1097,BakersPoint Bakery,Cafe,Sinhagad Road,4,655,Low,,449,13-04-2024,3313,506,227194,,No,7
BIZ1098,BakersPoint Grocery,Electronics,Wakad,3,189,Medium,,,15-12-2023,7103,577,0,,Yes,3
BIZ1099,Kalyani Cafe,Auto Repair,Hinjewadi,4,1495,High,22,,07-11-2024,3137,422,0,3.1,Yes,6
BIZ1100,FreshMart Grocery,Auto Repair,Sinhagad Road,4.9,1450,Low,,,26-09-2023,677,727,0,,Yes,5
BIZ1101,SmartBuy Clothing,Grocery,Deccan,3.1,1159,High,,355,18-11-2023,8673,356,126380,,No,9
BIZ1102,SmartBuy Bakery,Electronics,Bibwewadi,3.4,680,High,54,,22-09-2024,243,643,0,3.6,No,5
BIZ1103,ChaiVilla Grocery,Salon,Hinjewadi,2.7,860,High,,,28-10-2023,5112,317,0,,Yes,19
BIZ1104,Kalyani Cafe,Restaurant,Deccan,3.9,1317,Low,,968,27-09-2024,3314,293,283624,,No,21
BIZ1105,Durga Restaurant,Electronics,Karve Nagar,4.5,509,Low,,,30-09-2024,2309,693,0,,No,23
BIZ1106,Tandoor Trails Electronics,Electronics,Hinjewadi,4.4,1410,High,27,1351,28-07-2024,9700,163,220213,3.5,No,24
BIZ1107,SmartBuy Electronics,Salon,Swargate,4.4,1434,Medium,46,1541,27-08-2024,214,659,1015519,4,Yes,16
BIZ1108,Tandoor Trails Salon,Electronics,Hadapsar,2.7,301,Medium,50,982,13-06-2024,3469,642,630444,2.7,Yes,16
BIZ1109,ChaiVilla Clothing,Cafe,Wakad,4,293,High,,1955,11-05-2024,4162,784,1532720,,No,2
BIZ1110,Kalyani Salon,Grocery,Deccan,3.1,1106,Low,52,65,04-11-2023,7210,576,37440,4.1,Yes,9
BIZ1111,ChaiVilla Electronics,Electronics,Karve Nagar,5,1174,Low,34,,23-02-2024,2257,771,0,4.8,Yes,10
BIZ1112,FreshMart Bakery,Electronics,Yerwada,3.9,30,Medium,38,,25-03-2023,4490,477,0,4.6,Yes,11
BIZ1113,Durga Auto Repair,Bakery,Nigdi,4.1,1444,High,,1255,17-01-2024,5230,167,209585,,No,7
BIZ1114,FixIt Salon,Clothing,Bibwewadi,4.3,297,High,,,27-07-2023,9967,248,0,,Yes,6
BIZ1115,Kalyani Auto Repair,Salon,Yerwada,3.6,1408,Medium,60,1819,08-06-2023,8170,307,558433,2.6,No,15
BIZ1116,Durga Restaurant,Clothing,Bibwewadi,4.8,903,High,,,10-04-2024,5548,246,0,,Yes,22
BIZ1117,Tandoor Trails Cafe,Salon,Nigdi,3.6,174,Medium,22,,23-02-2023,8967,444,0,2.9,No,21
BIZ1118,FixIt Bakery,Cafe,Hinjewadi,4.3,1250,Low,,,29-10-2023,1043,795,0,,Yes,24
BIZ1119,GlowUp Clothing,Cafe,Kothrud,3.4,720,Low,,545,03-02-2024,2412,628,342260,,Yes,22
BIZ1120,SpiceHub Salon,Electronics,Yerwada,2.8,1321,High,31,1068,09-10-2024,6816,628,670704,3.2,Yes,14
BIZ1121,BakersPoint Grocery,Clothing,Koregaon Park,3.8,890,High,48,,14-01-2024,638,314,0,3.5,No,3
BIZ1122,FreshMart Bakery,Grocery,Swargate,2.5,1263,High,,,04-08-2023,5941,432,0,,Yes,20
BIZ1123,SpiceHub Electronics,Salon,Shivaji Nagar,3.8,937,Low,42,,26-06-2023,6241,551,0,2.8,No,19
BIZ1124,ChaiVilla Grocery,Salon,Deccan,4.3,410,Medium,28,,10-04-2023,1957,738,0,4.7,Yes,7
BIZ1125,FreshMart Electronics,Electronics,Kharadi,4.6,901,High,35,1761,23-06-2023,7938,644,1134084,3.9,No,14
BIZ1126,Durga Auto Repair,Salon,Viman Nagar,4.5,486,Medium,23,1819,22-01-2023,9380,345,627555,2.7,No,4
BIZ1127,SpiceHub Electronics,Restaurant,Baner,4.6,1013,Medium,25,,09-03-2024,7004,727,0,3.5,No,11
BIZ1128,GlowUp Grocery,Salon,Bibwewadi,2.8,330,Low,35,1405,25-09-2023,1483,673,945565,3.7,Yes,25
BIZ1129,FixIt Auto Repair,Cafe,Yerwada,3.5,229,High,60,,29-03-2024,4439,155,0,2.9,Yes,25
BIZ1130,SmartBuy Cafe,Bakery,Kothrud,3.6,266,High,24,291,20-10-2024,9763,619,180129,4.8,Yes,8
BIZ1131,Kalyani Auto Repair,Bakery,Pashan,4.4,541,High,21,1861,04-01-2023,8913,323,601103,4.7,Yes,16
BIZ1132,GlowUp Grocery,Salon,Aundh,3,687,Low,50,,22-04-2024,6312,538,0,4.4,No,15
BIZ1133,BakersPoint Grocery,Grocery,Koregaon Park,2.7,1342,Low,48,,26-04-2024,536,173,0,2.8,Yes,3
BIZ1134,Tandoor Trails Electronics,Auto Repair,Deccan,2.6,1291,Low,29,,28-02-2024,9055,218,0,2.1,No,15
BIZ1135,ChaiVilla Grocery,Grocery,Hadapsar,4,95,Medium,46,,10-03-2024,6793,776,0,4.1,No,8
BIZ1136,Tandoor Trails Electronics,Electronics,Kharadi,3.2,62,Low,,451,23-09-2023,5286,727,327877,,No,10
BIZ1137,SpiceHub Grocery,Restaurant,Nigdi,3.5,486,Low,,307,29-07-2023,5108,342,104994,,No,7
BIZ1138,Kalyani Restaurant,Cafe,Karve Nagar,3.7,547,Medium,,,04-01-2023,643,289,0,,No,9
BIZ1139,Durga Auto Repair,Bakery,Camp,3.4,332,High,,,09-03-2023,9324,672,0,,Yes,17
BIZ1140,GlowUp Clothing,Restaurant,Karve Nagar,3.6,754,Medium,51,,18-01-2024,4524,441,0,4.7,Yes,24
BIZ1141,Durga Electronics,Auto Repair,Hadapsar,4.5,583,High,,,16-05-2024,8000,379,0,,No,12
BIZ1142,BakersPoint Clothing,Cafe,Kothrud,4.8,32,Medium,,,03-07-2023,5711,610,0,,No,7
BIZ1143,Tandoor Trails Restaurant,Electronics,Wakad,3,197,High,,,08-03-2024,7189,369,0,,Yes,5
BIZ1144,GlowUp Cafe,Clothing,Kharadi,3.6,894,Medium,33,,24-02-2024,9274,501,0,4,Yes,6
BIZ1145,FixIt Salon,Auto Repair,Yerwada,4.8,676,Low,22,,13-12-2024,8973,344,0,3.2,No,4
BIZ1146,FreshMart Bakery,Salon,Camp,2.9,215,Low,44,,28-03-2024,6365,372,0,3.3,No,2
BIZ1147,Tandoor Trails Electronics,Electronics,Aundh,4.2,1158,Medium,,523,01-10-2023,1244,172,89956,,No,8
BIZ1148,SmartBuy Bakery,Clothing,Hadapsar,3.6,581,Low,,,27-10-2023,7749,700,0,,No,5
BIZ1149,FreshMart Grocery,Auto Repair,Aundh,4.6,1058,Low,50,134,07-04-2023,5208,776,103984,3.2,No,21
BIZ1150,FixIt Clothing,Electronics,Pashan,3.2,289,Low,49,628,25-04-2024,3325,591,371148,2.5,Yes,4
BIZ1151,Durga Electronics,Bakery,Hadapsar,3,874,Medium,24,1533,02-03-2023,7825,535,820155,4.9,No,13
BIZ1152,FreshMart Grocery,Cafe,Karve Nagar,3.8,1004,Low,35,,10-05-2024,8950,320,0,3.6,Yes,4
BIZ1153,Tandoor Trails Salon,Cafe,Bibwewadi,3.4,891,Medium,27,,04-02-2024,2970,259,0,4,No,6
BIZ1154,SmartBuy Cafe,Salon,Deccan,3.6,1000,High,47,488,10-05-2023,4793,786,383568,3.7,Yes,4
BIZ1155,Tandoor Trails Bakery,Bakery,Baner,4.8,444,Medium,51,,26-08-2023,7858,479,0,3.3,No,3
BIZ1156,Durga Clothing,Salon,Nigdi,4.9,1151,Low,53,367,15-07-2024,8573,483,177261,3.6,No,21
BIZ1157,Durga Grocery,Electronics,Wakad,2.7,744,Medium,,,23-03-2023,1491,755,0,,Yes,18
BIZ1158,SmartBuy Auto Repair,Auto Repair,Viman Nagar,3.2,672,Low,,1483,29-09-2023,1105,242,358886,,Yes,8
BIZ1159,Tandoor Trails Cafe,Restaurant,Koregaon Park,4.9,734,High,,1602,12-02-2023,1254,434,695268,,Yes,7
BIZ1160,SmartBuy Restaurant,Clothing,Viman Nagar,2.8,168,Low,,1974,28-07-2024,376,165,325710,,Yes,15
BIZ1161,Tandoor Trails Clothing,Cafe,Kharadi,3.7,1014,High,38,,06-11-2024,9977,270,0,3.9,Yes,23
BIZ1162,SmartBuy Bakery,Grocery,Hinjewadi,4.8,141,Medium,54,,10-03-2023,7099,566,0,3.4,Yes,21
BIZ1163,FixIt Salon,Bakery,Bibwewadi,3.2,1040,Medium,,,01-10-2024,4129,406,0,,Yes,16
BIZ1164,Tandoor Trails Grocery,Electronics,Sinhagad Road,4.7,467,Low,31,,15-03-2023,974,469,0,2.4,No,24
BIZ1165,FreshMart Cafe,Grocery,Hadapsar,3.8,756,Medium,36,280,30-10-2024,3784,688,192640,2.5,No,5
BIZ1166,FreshMart Auto Repair,Electronics,Wakad,2.6,240,Low,44,,15-07-2024,5861,271,0,3.6,Yes,6
BIZ1167,Tandoor Trails Restaurant,Electronics,Wakad,4.3,760,High,,691,19-08-2024,2912,376,259816,,No,16
BIZ1168,Durga Clothing,Restaurant,Karve Nagar,3.3,1218,Medium,47,1534,08-06-2023,123,262,401908,4.2,Yes,24
BIZ1169,FreshMart Restaurant,Cafe,Bibwewadi,3.9,499,High,41,,15-11-2023,3099,177,0,2.8,No,25
BIZ1170,FreshMart Clothing,Auto Repair,Yerwada,4.2,997,Medium,,,03-08-2023,8912,446,0,,No,13
BIZ1171,SmartBuy Grocery,Restaurant,Koregaon Park,4.2,587,Low,,,02-01-2023,352,741,0,,No,14
BIZ1172,FreshMart Clothing,Cafe,Sinhagad Road,2.8,1330,Low,21,,24-06-2024,7524,386,0,3.1,Yes,4
BIZ1173,FixIt Clothing,Salon,Deccan,3.9,444,Low,33,,31-10-2023,9461,707,0,3.4,Yes,20
BIZ1174,Kalyani Cafe,Electronics,Pashan,3.6,1401,High,,1327,15-07-2023,3746,562,745774,,No,16
BIZ1175,FreshMart Auto Repair,Restaurant,Sinhagad Road,4.1,347,Low,,,17-06-2024,534,413,0,,No,12
BIZ1176,SpiceHub Cafe,Auto Repair,Swargate,2.7,1238,Low,,89,27-10-2024,1237,443,39427,,Yes,7
BIZ1177,SpiceHub Cafe,Bakery,Camp,4.9,873,High,58,,23-12-2023,3035,322,0,3.2,Yes,9
BIZ1178,GlowUp Salon,Electronics,Hadapsar,4.7,1110,Low,46,1081,20-10-2024,6336,457,494017,3.5,No,22
BIZ1179,SmartBuy Electronics,Auto Repair,Swargate,2.5,892,Low,56,,26-10-2023,5329,458,0,3.8,Yes,10
BIZ1180,Tandoor Trails Salon,Bakery,Bibwewadi,3.6,405,Medium,,,14-10-2023,557,196,0,,Yes,19
BIZ1181,Durga Cafe,Cafe,Bibwewadi,3.9,1368,Low,,1712,03-04-2024,5144,785,1343920,,Yes,6
BIZ1182,Kalyani Grocery,Electronics,Swargate,4,799,High,,,19-01-2023,6887,166,0,,Yes,5
BIZ1183,SpiceHub Clothing,Electronics,Bibwewadi,2.6,417,Medium,42,279,11-02-2023,5552,794,221526,3.6,No,20
BIZ1184,SpiceHub Clothing,Electronics,Sinhagad Road,3.4,295,Medium,,,13-04-2023,7468,638,0,,Yes,14
BIZ1185,GlowUp Restaurant,Auto Repair,Deccan,3.3,449,High,30,957,29-08-2024,1920,519,496683,4.1,No,6
BIZ1186,Kalyani Grocery,Clothing,Kharadi,4.2,1179,High,,1760,03-09-2023,8040,284,499840,,Yes,14
BIZ1187,SpiceHub Grocery,Auto Repair,Shivaji Nagar,3.7,192,Low,,1257,24-05-2023,1099,514,646098,,Yes,6
BIZ1188,SmartBuy Cafe,Grocery,Bibwewadi,2.9,1334,Low,20,547,27-10-2024,5293,272,148784,4.6,Yes,14
BIZ1189,Tandoor Trails Grocery,Clothing,Kharadi,4.5,17,Low,,1607,18-02-2024,4510,350,562450,,No,18
BIZ1190,Kalyani Salon,Restaurant,Baner,3.5,187,High,,,17-12-2023,8826,715,0,,No,4
BIZ1191,FixIt Electronics,Salon,Bibwewadi,3.8,141,Low,45,126,11-05-2023,9438,195,24570,4.1,Yes,22
BIZ1192,BakersPoint Salon,Auto Repair,Camp,3.7,1329,Low,55,1104,03-12-2024,2650,171,188784,3.3,Yes,15
BIZ1193,FreshMart Grocery,Electronics,Wakad,4.8,568,High,50,,10-02-2024,9392,240,0,4.6,No,5
BIZ1194,FreshMart Electronics,Restaurant,Bibwewadi,3,558,Medium,,,17-12-2024,5057,470,0,,No,18
BIZ1195,ChaiVilla Bakery,Grocery,Hinjewadi,4,1325,Low,56,,06-12-2023,5659,615,0,2.8,Yes,14
BIZ1196,SpiceHub Salon,Cafe,Magarpatta,3,1358,High,51,,25-11-2023,800,788,0,3.7,Yes,12
BIZ1197,FixIt Cafe,Bakery,Kothrud,4,770,High,31,,24-02-2024,8498,328,0,3.3,Yes,14
BIZ1198,Tandoor Trails Clothing,Electronics,Sinhagad Road,3.9,1093,High,37,,11-07-2024,7737,451,0,2.7,No,5
BIZ1199,FreshMart Clothing,Restaurant,Pashan,3.4,962,Medium,,,10-11-2024,7362,611,0,,No,19
BIZ1200,SpiceHub Cafe,Clothing,Aundh,5,921,Medium,,1864,19-05-2023,584,362,674768,,No,18
BIZ1201,FreshMart Grocery,Auto Repair,Yerwada,4.4,1302,Low,30,80,03-12-2024,216,249,19920,3.1,No,24
BIZ1202,FreshMart Bakery,Bakery,Hadapsar,4.3,271,High,43,427,21-10-2023,4648,638,272426,2.1,No,12
BIZ1203,GlowUp Grocery,Electronics,Swargate,3.2,1388,High,22,1757,07-11-2024,7910,672,1180704,2.8,Yes,17
BIZ1204,Durga Grocery,Salon,Hinjewadi,4,1175,Medium,41,79,03-03-2023,9649,522,41238,2,No,12
BIZ1205,FixIt Cafe,Salon,Hinjewadi,3.1,1155,High,,,06-11-2024,2488,735,0,,Yes,16
BIZ1206,GlowUp Clothing,Restaurant,Swargate,4.7,921,Low,24,1460,17-09-2023,6897,582,849720,4.2,No,4
BIZ1207,Durga Auto Repair,Auto Repair,Shivaji Nagar,3.4,1326,Low,,1638,18-07-2024,9628,571,935298,,Yes,25
BIZ1208,GlowUp Grocery,Electronics,Koregaon Park,4.7,451,Medium,49,1388,01-10-2024,6833,172,238736,2.9,No,8
BIZ1209,BakersPoint Auto Repair,Salon,Baner,4.1,721,High,,1168,24-02-2023,5209,452,527936,,No,24
BIZ1210,ChaiVilla Auto Repair,Bakery,Sinhagad Road,4.4,390,Medium,37,,10-09-2024,4488,597,0,3.8,Yes,6
BIZ1211,GlowUp Salon,Electronics,Bibwewadi,3.6,166,Low,22,330,03-01-2023,4326,592,195360,3.7,No,20
BIZ1212,Durga Restaurant,Clothing,Nigdi,2.8,431,Medium,23,,03-04-2023,4892,585,0,3,No,9
BIZ1213,GlowUp Bakery,Cafe,Aundh,4.9,990,Low,,,30-07-2023,1701,397,0,,Yes,9
BIZ1214,Tandoor Trails Bakery,Electronics,Kothrud,4.8,922,High,57,91,16-12-2023,1753,728,66248,3.3,No,10
BIZ1215,Durga Auto Repair,Cafe,Aundh,4.9,876,Low,,248,04-10-2023,2533,167,41416,,Yes,4
BIZ1216,FixIt Electronics,Auto Repair,Nigdi,2.6,712,High,41,,27-05-2023,6601,742,0,3.9,Yes,22
